"GeneID"	"Cluster"
"295"	"ARTN"	"cluster2"
"296"	"LSMEM1"	"cluster2"
"297"	"KRT12"	"cluster2"
"298"	"PNPLA1"	"cluster2"
"299"	"IGLL1"	"cluster2"
"300"	"OCM"	"cluster2"
"301"	"PIWIL2"	"cluster2"
"302"	"UPK1A"	"cluster2"
"303"	"RSPH6A"	"cluster2"
"304"	"SNORA40B"	"cluster2"
"305"	"SNORD32B"	"cluster2"
"306"	"EDA2R"	"cluster2"
"307"	"PTCHD4"	"cluster2"
"308"	"LYPD1"	"cluster2"
"309"	"RAMP1"	"cluster2"
"310"	"FAM98C"	"cluster2"
"311"	"SPATA2L"	"cluster2"
"312"	"PRR7"	"cluster2"
"313"	"SSBP4"	"cluster2"
"314"	"F8A1"	"cluster2"
"315"	"EMC9"	"cluster2"
"316"	"R3HDM4"	"cluster2"
"317"	"RPUSD1"	"cluster2"
"318"	"CERS5"	"cluster2"
"319"	"TARBP2"	"cluster2"
"320"	"IFRD2"	"cluster2"
"321"	"THOC6"	"cluster2"
"322"	"ALYREF"	"cluster2"
"323"	"EIF4EBP1"	"cluster2"
"324"	"TSPAN1"	"cluster2"
"325"	"TANGO2"	"cluster2"
"326"	"MGST3"	"cluster2"
"327"	"TMEM141"	"cluster2"
"328"	"APLN"	"cluster2"
"329"	"CD9"	"cluster2"
"330"	"TAX1BP3"	"cluster2"
"331"	"RNF14"	"cluster2"
"332"	"TMEM50B"	"cluster2"
"333"	"ATP6V0E1"	"cluster2"
"334"	"SPTSSA"	"cluster2"
"335"	"IL20RB"	"cluster2"
"336"	"STC2"	"cluster2"
"337"	"TFAP2A"	"cluster2"
"338"	"INSM1"	"cluster2"
"339"	"SOX11"	"cluster2"
"340"	"PTGIS"	"cluster2"
"341"	"VASH2"	"cluster2"
"342"	"XKR5"	"cluster2"
"343"	"LEMD1"	"cluster2"
"344"	"METTL11B"	"cluster2"
"345"	"RNASEH2B"	"cluster2"
"346"	"TMEM253"	"cluster2"
"347"	"ADA"	"cluster2"
"348"	"TMEM117"	"cluster2"
"349"	"GNL3"	"cluster2"
"350"	"MYC"	"cluster2"
"351"	"PYCR1"	"cluster2"
"352"	"SHMT2"	"cluster2"
"353"	"BZW2"	"cluster2"
"354"	"LAPTM4B"	"cluster2"
"355"	"MTHFD1L"	"cluster2"
"356"	"RHNO1"	"cluster2"
"357"	"CCDC77"	"cluster2"
"358"	"NCAPD2"	"cluster2"
"359"	"TMEM131L"	"cluster2"
"360"	"KIF20B"	"cluster2"
"361"	"MASTL"	"cluster2"
"362"	"BAZ1A"	"cluster2"
"363"	"SUV39H2"	"cluster2"
"364"	"RARA"	"cluster2"
"365"	"PLEKHH3"	"cluster2"
"366"	"SCARF2"	"cluster2"
"367"	"CCND2"	"cluster2"
"368"	"VAV2"	"cluster2"
"369"	"DDX27"	"cluster2"
"370"	"ZCCHC3"	"cluster2"
"371"	"FANCG"	"cluster2"
"372"	"RFC4"	"cluster2"
"373"	"CCNF"	"cluster2"
"374"	"CENPO"	"cluster2"
"375"	"RACGAP1"	"cluster2"
"376"	"SPC25"	"cluster2"
"377"	"C18orf54"	"cluster2"
"378"	"GEN1"	"cluster2"
"379"	"TRAF4"	"cluster2"
"380"	"NT5DC2"	"cluster2"
"381"	"PIF1"	"cluster2"
"382"	"CDC25B"	"cluster2"
"383"	"PHF19"	"cluster2"
"384"	"UHRF1"	"cluster2"
"385"	"WDR46"	"cluster2"
"386"	"AAAS"	"cluster2"
"387"	"UTP14A"	"cluster2"
"388"	"GEMIN6"	"cluster2"
"389"	"RBMX2"	"cluster2"
"390"	"POLD2"	"cluster2"
"391"	"HNRNPAB"	"cluster2"
"392"	"LSM8"	"cluster2"
"393"	"RCN1"	"cluster2"
"394"	"BTG1"	"cluster2"
"395"	"UIMC1"	"cluster2"
"396"	"EPOR"	"cluster2"
"397"	"ZFPM1"	"cluster2"
"398"	"SLC43A1"	"cluster2"
"399"	"ZRSR2"	"cluster2"
"400"	"RPL3L"	"cluster2"
"401"	"CAGE1"	"cluster2"
"402"	"ACAP1"	"cluster2"
"403"	"C9orf50"	"cluster2"
"404"	"ITGAE"	"cluster2"
"405"	"HINT1"	"cluster2"
"406"	"TBCA"	"cluster2"
"407"	"LSM3"	"cluster2"
"408"	"DYNLT1"	"cluster2"
"409"	"SNRPC"	"cluster2"
"410"	"LSM2"	"cluster2"
"411"	"SNRPG"	"cluster2"
"412"	"DUT"	"cluster2"
"413"	"DDT"	"cluster2"
"414"	"HINT2"	"cluster2"
"415"	"RACK1"	"cluster2"
"416"	"RPL32"	"cluster2"
"417"	"RPL23"	"cluster2"
"418"	"RPL24"	"cluster2"
"419"	"RPL17"	"cluster2"
"420"	"RPS7"	"cluster2"
"421"	"TPT1"	"cluster2"
"422"	"GEMIN2"	"cluster2"
"423"	"NSL1"	"cluster2"
"424"	"EMG1"	"cluster2"
"425"	"NUDCD2"	"cluster2"
"426"	"MTHFD2L"	"cluster2"
"427"	"SKA2"	"cluster2"
"428"	"TUBD1"	"cluster2"
"429"	"CA14"	"cluster2"
"430"	"MYLK2"	"cluster2"
"431"	"SLC38A5"	"cluster2"
"432"	"CASP12"	"cluster2"
"433"	"XIRP2"	"cluster2"
"434"	"C11orf52"	"cluster2"
"435"	"ALDH1A2"	"cluster2"
"436"	"ASB11"	"cluster2"
"437"	"ZNF467"	"cluster2"
"438"	"STARD8"	"cluster2"
"439"	"CXCL12"	"cluster2"
"440"	"GIMAP5"	"cluster2"
"441"	"GIMAP7"	"cluster2"
"442"	"TNF"	"cluster2"
"443"	"CCL3"	"cluster2"
"444"	"CCL4"	"cluster2"
"445"	"CH25H"	"cluster2"
"446"	"IL1B"	"cluster2"
"447"	"VWA5A"	"cluster2"
"448"	"ABCA1"	"cluster2"
"449"	"TENM4"	"cluster2"
"450"	"MAN1A1"	"cluster2"
"451"	"GPRIN3"	"cluster2"
"452"	"MGAT4A"	"cluster2"
"453"	"DNAJB4"	"cluster2"
"454"	"TNFAIP8L3"	"cluster2"
"455"	"IL12B"	"cluster2"
"456"	"PADI6"	"cluster2"
"457"	"ACOD1"	"cluster2"
"458"	"EPYC"	"cluster2"
"459"	"CRYBB1"	"cluster2"
"460"	"HPSE"	"cluster2"
"461"	"KCNJ5"	"cluster2"
"462"	"MYO1A"	"cluster2"
"463"	"CARD11"	"cluster2"
"464"	"SIGLEC11"	"cluster2"
"465"	"ITGAX"	"cluster2"
"466"	"OLR1"	"cluster2"
"467"	"POU2F2"	"cluster2"
"468"	"C19orf38"	"cluster2"
"469"	"IGSF6"	"cluster2"
"470"	"MILR1"	"cluster2"
"471"	"FYB1"	"cluster2"
"472"	"ITGAL"	"cluster2"
"473"	"IRF8"	"cluster2"
"474"	"MNDA"	"cluster2"
"475"	"TMEM106A"	"cluster2"
"476"	"CYBB"	"cluster2"
"477"	"TLR7"	"cluster2"
"478"	"CD84"	"cluster2"
"479"	"SYK"	"cluster2"
"480"	"AOAH"	"cluster2"
"481"	"CXorf21"	"cluster2"
"482"	"CXCL16"	"cluster2"
"483"	"ZMYND15"	"cluster2"
"484"	"APOBEC3H"	"cluster2"
"485"	"MS4A14"	"cluster2"
"486"	"MAP4K1"	"cluster2"
"487"	"UBA7"	"cluster2"
"488"	"ERVFRD.1"	"cluster2"
"489"	"NLRP4"	"cluster2"
"490"	"ENPP3"	"cluster2"
"491"	"ANKDD1A"	"cluster2"
"492"	"MEIOC"	"cluster2"
"493"	"FBXL7"	"cluster2"
"494"	"ZNF521"	"cluster2"
"495"	"PRDM16"	"cluster2"
"496"	"PTCHD1"	"cluster2"
"497"	"INHBB"	"cluster2"
"498"	"LIPG"	"cluster2"
"499"	"KIF27"	"cluster2"
"500"	"CNTRL"	"cluster2"
"501"	"SMC5"	"cluster2"
"502"	"RHBDD1"	"cluster2"
"503"	"USP40"	"cluster2"
"504"	"PROB1"	"cluster2"
"505"	"TNXB"	"cluster2"
"506"	"B3GNT6"	"cluster2"
"507"	"ESRRB"	"cluster2"
"508"	"FSBP"	"cluster2"
"509"	"PM20D1"	"cluster2"
"510"	"PPAN.P2RY11"	"cluster2"
"511"	"ZPBP"	"cluster2"
"512"	"C12orf60"	"cluster2"
"513"	"TRIM69"	"cluster2"
"514"	"LMBRD1"	"cluster2"
"515"	"MANSC1"	"cluster2"
"516"	"DCK"	"cluster2"
"517"	"ATP6AP2"	"cluster2"
"518"	"SPCS3"	"cluster2"
"519"	"MBD4"	"cluster2"
"520"	"BBS4"	"cluster2"
"521"	"MPPE1"	"cluster2"
"522"	"MTERF1"	"cluster2"
"523"	"RBM48"	"cluster2"
"524"	"GATAD1"	"cluster2"
"525"	"KRIT1"	"cluster2"
"526"	"PEX1"	"cluster2"
"527"	"FAM133B"	"cluster2"
"528"	"POT1"	"cluster2"
"529"	"GTPBP10"	"cluster2"
"530"	"SLC25A40"	"cluster2"
"531"	"GGCT"	"cluster2"
"532"	"TMEM243"	"cluster2"
"533"	"CEBPG"	"cluster2"
"534"	"IFRD1"	"cluster2"
"535"	"FOXR2"	"cluster2"
"536"	"PCDHGB6"	"cluster2"
"537"	"PCDHGA8"	"cluster2"
"538"	"RTTN"	"cluster2"
"539"	"POU3F2"	"cluster2"
"540"	"SALL3"	"cluster2"
"541"	"PARD6G"	"cluster2"
"542"	"ATRIP"	"cluster2"
"543"	"ZKSCAN7"	"cluster2"
"544"	"ING1"	"cluster2"
"545"	"PPP4R1"	"cluster2"
"546"	"UNK"	"cluster2"
"547"	"RAF1"	"cluster2"
"548"	"PALB2"	"cluster2"
"549"	"ZNF496"	"cluster2"
"550"	"G2E3"	"cluster2"
"551"	"FAM76B"	"cluster2"
"552"	"SMC6"	"cluster2"
"553"	"ARL6IP6"	"cluster2"
"554"	"POLA1"	"cluster2"
"555"	"ZKSCAN4"	"cluster2"
"556"	"GCFC2"	"cluster2"
"557"	"DFFA"	"cluster2"
"558"	"ZW10"	"cluster2"
"559"	"POLH"	"cluster2"
"560"	"DNMT1"	"cluster2"
"561"	"NCAPD3"	"cluster2"
"562"	"NUP155"	"cluster2"
"563"	"SUZ12"	"cluster2"
"564"	"TRIM24"	"cluster2"
"565"	"CEP76"	"cluster2"
"566"	"ZDHHC15"	"cluster2"
"567"	"OGFOD1"	"cluster2"
"568"	"CDC23"	"cluster2"
"569"	"ETAA1"	"cluster2"
"570"	"XPO1"	"cluster2"
"571"	"GNL3L"	"cluster2"
"572"	"ADAM17"	"cluster2"
"573"	"VGLL4"	"cluster2"
"574"	"DHX15"	"cluster2"
"575"	"SLAIN2"	"cluster2"
"576"	"BNIP2"	"cluster2"
"577"	"TNPO1"	"cluster2"
"578"	"ATR"	"cluster2"
"579"	"NME6"	"cluster2"
"580"	"RBM38"	"cluster2"
"581"	"MYO9B"	"cluster2"
"582"	"PFKL"	"cluster2"
"583"	"PML"	"cluster2"
"584"	"SESN2"	"cluster2"
"585"	"INAFM2"	"cluster2"
"586"	"CAPN1"	"cluster2"
"587"	"ORAI2"	"cluster2"
"588"	"L3HYPDH"	"cluster2"
"589"	"GAA"	"cluster2"
"590"	"LTBP3"	"cluster2"
"591"	"MPZL1"	"cluster2"
"592"	"SAMHD1"	"cluster2"
"593"	"BMF"	"cluster2"
"594"	"SH3BP1"	"cluster2"
"595"	"TERB1"	"cluster2"
"596"	"MROH6"	"cluster2"
"597"	"TMEM86B"	"cluster2"
"598"	"ZNF296"	"cluster2"
"599"	"SNORD104"	"cluster2"
"600"	"MEF2B"	"cluster2"
"601"	"TMEM262"	"cluster2"
"602"	"HDAC10"	"cluster2"
"603"	"PIDD1"	"cluster2"
"604"	"FAM166A"	"cluster2"
"605"	"C2orf92"	"cluster2"
"606"	"GPS2"	"cluster2"
"607"	"WDR90"	"cluster2"
"608"	"GDPD3"	"cluster2"
"609"	"LAT"	"cluster2"
"610"	"TRA2A"	"cluster2"
"611"	"CEP95"	"cluster2"
"612"	"CCDC14"	"cluster2"
"613"	"PAN2"	"cluster2"
"614"	"CLDN15"	"cluster2"
"615"	"KMT5C"	"cluster2"
"616"	"ANKLE1"	"cluster2"
"617"	"CHTF18"	"cluster2"
"618"	"DOT1L"	"cluster2"
"619"	"ANKRD10"	"cluster2"
"620"	"CLEC2D"	"cluster2"
"621"	"DDTL"	"cluster2"
"622"	"PPOX"	"cluster2"
"623"	"RGL2"	"cluster2"
"624"	"RPS6KB2"	"cluster2"
"625"	"PLCXD1"	"cluster2"
"626"	"CCHCR1"	"cluster2"
"627"	"PSMG4"	"cluster2"
"628"	"U2AF1L5"	"cluster2"
"629"	"NANOGP8"	"cluster2"
"630"	"SLC25A2"	"cluster2"
"631"	"CLRN1"	"cluster2"
"632"	"SLC26A7"	"cluster2"
"633"	"PRDM7"	"cluster2"
"634"	"SAG"	"cluster2"
"635"	"TMEM191B"	"cluster2"
"636"	"TMEM191C"	"cluster2"
"637"	"DCST1"	"cluster2"
"638"	"KCTD19"	"cluster2"
"639"	"FADS3"	"cluster2"
"640"	"MOK"	"cluster2"
"641"	"TMEM91"	"cluster2"
"642"	"U2AF1L4"	"cluster2"
"643"	"C1orf159"	"cluster2"
"644"	"MUTYH"	"cluster2"
"645"	"MAMDC2"	"cluster2"
"646"	"CSRP2"	"cluster2"
"647"	"TAS1R1"	"cluster2"
"648"	"COL4A6"	"cluster2"
"649"	"GPC4"	"cluster2"
"650"	"AR"	"cluster2"
"651"	"ITGB4"	"cluster2"
"652"	"F2RL1"	"cluster2"
"653"	"SNX7"	"cluster2"
"654"	"PI16"	"cluster2"
"655"	"ARHGAP6"	"cluster2"
"656"	"PDE8A"	"cluster2"
"657"	"SYNM"	"cluster2"
"658"	"PAQR7"	"cluster2"
"659"	"FUT4"	"cluster2"
"660"	"PLIN3"	"cluster2"
"661"	"ABHD15"	"cluster2"
"662"	"SHMT1"	"cluster2"
"663"	"CHIA"	"cluster2"
"664"	"IQCM"	"cluster2"
"665"	"BCL2L14"	"cluster2"
"666"	"CDK15"	"cluster2"
"667"	"KRT73"	"cluster2"
"668"	"LY6G6F"	"cluster2"
"669"	"TMEM40"	"cluster2"
"670"	"INMT"	"cluster2"
"671"	"INMT.MINDY4"	"cluster2"
"672"	"MRC1"	"cluster2"
"673"	"IL18R1"	"cluster2"
"674"	"NLRP6"	"cluster2"
"675"	"ALOX15B"	"cluster2"
"676"	"GUCY2D"	"cluster2"
"677"	"CCL17"	"cluster2"
"678"	"CCL22"	"cluster2"
"679"	"OPN1LW"	"cluster2"
"680"	"TNNC1"	"cluster2"
"681"	"SLC13A4"	"cluster2"
"682"	"PTGDR"	"cluster2"
"683"	"UPK1B"	"cluster2"
"684"	"JPH2"	"cluster2"
"685"	"SMIM35"	"cluster2"
"686"	"NAT8B"	"cluster2"
"687"	"TIMP4"	"cluster2"
"688"	"TMEM174"	"cluster2"
"689"	"NUPR1"	"cluster2"
"690"	"SPARC"	"cluster2"
"691"	"HNMT"	"cluster2"
"692"	"PHKG1"	"cluster2"
"693"	"CDH15"	"cluster2"
"694"	"POU4F1"	"cluster2"
"695"	"SLC44A5"	"cluster2"
"696"	"HS3ST1"	"cluster2"
"697"	"ADAMTS15"	"cluster2"
"698"	"HAS2"	"cluster2"
"699"	"C6orf226"	"cluster2"
"700"	"METRN"	"cluster2"
"701"	"NME4"	"cluster2"
"702"	"PMF1"	"cluster2"
"703"	"TSPAN10"	"cluster2"
"704"	"DDAH2"	"cluster2"
"705"	"MIIP"	"cluster2"
"706"	"BEND5"	"cluster2"
"707"	"TEX30"	"cluster2"
"708"	"GMNN"	"cluster2"
"709"	"TLE1"	"cluster2"
"710"	"CHST4"	"cluster2"
"711"	"GPAT3"	"cluster2"
"712"	"PDK3"	"cluster2"
"713"	"BDKRB2"	"cluster2"
"714"	"LTBP2"	"cluster2"
"715"	"CST6"	"cluster2"
"716"	"DSG2"	"cluster2"
"717"	"SOAT2"	"cluster2"
"718"	"CHSY3"	"cluster2"
"719"	"TWIST2"	"cluster2"
"720"	"AHR"	"cluster2"
"721"	"CRYBG1"	"cluster2"
"722"	"HGF"	"cluster2"
"723"	"KRT80"	"cluster2"
"724"	"PODNL1"	"cluster2"
"725"	"TRPM8"	"cluster2"
"726"	"CNTNAP3"	"cluster2"
"727"	"CNTNAP3B"	"cluster2"
"728"	"CNIH3"	"cluster2"
"729"	"CHST2"	"cluster2"
"730"	"HRH1"	"cluster2"
"731"	"ARSJ"	"cluster2"
"732"	"ITGA3"	"cluster2"
"733"	"WNT2"	"cluster2"
"734"	"MYBPC2"	"cluster2"
"735"	"HTR7"	"cluster2"
"736"	"LGI2"	"cluster2"
"737"	"CALCA"	"cluster2"
"738"	"PRSS57"	"cluster2"
"739"	"ARC"	"cluster2"
"740"	"CSRNP1"	"cluster2"
"741"	"DUSP5"	"cluster2"
"742"	"ATF3"	"cluster2"
"743"	"FOSL2"	"cluster2"
"744"	"MAFF"	"cluster2"
